688,126
1237,406
1228,327
827,189
132,457
641,120
1255,579
1310,187
371,166
576,332
1207,835
746,595
468,5
428,282
540,446
1253,393
788,701
1034,387
509,526
209,360
676,245
781,107
515,301
1235,194
83,304
177,568
159,570
141,583
599,763
519,263
261,260
18,281
870,688
1190,598
1287,169
616,351
89,488
23,725
338,204
641,792
693,577
1278,768
739,304
749,565
1096,742
504,621
900,103
627,11
1272,543
281,491
1185,129
1293,526
917,701
781,395
1005,264
843,67
930,812
967,746
1160,845
1057,313
164,92
1089,687
1267,504
113,675
676,469
1042,82
1053,777
877,334
641,270
731,855
1165,526
638,250
306,544
1034,294
1297,624
509,78
549,127
1001,647
624,499
478,509
261,232
801,526
818,810
213,339
1064,364
972,690
213,555
117,388
1146,354
837,42
667,672
223,59
50,507
1027,504
22,397
3,613
554,383
649,31
806,621
176,201
619,88
847,183
768,542
1143,140
971,110
574,747
639,120
1294,196
542,94
1011,39
89,504
875,803
271,37
729,805
253,357
492,806
622,126
748,333
693,465
780,127
1057,840
1086,826
1200,826
813,158
473,42
277,600
1022,95
1064,530
37,36
823,1
1057,651
962,714
60,816
710,794
82,810
1277,267
843,301
872,866
482,322
991,362
428,164
127,696
693,410
1139,868
832,873
32,126
872,516
21,182
875,91
1310,709
1290,201
1283,683
661,863
73,306
194,457
1094,187
144,431
1262,339
305,525
507,735
467,281
525,627
1250,78
1049,773
900,819
582,707
627,211
124,637
62,383
473,78
975,691
16,644
1245,466
1181,757
654,485
594,368
256,113
529,787
637,78
1141,626
701,670
765,347
397,329
731,263
668,721
291,179
1217,280
192,586
552,154
785,179
709,211
893,628
1273,484
89,292
571,304
437,883
1197,614
667,224
348,628
1005,600
410,551
401,406
567,417
1006,206
850,247
1004,96
674,95
393,701
1007,831
820,418
888,588
624,652
393,774
257,117
469,189
296,567
373,222
276,507
301,332
440,294
435,53
1092,772
1139,637
595,350
1042,530
435,841
75,855
492,536
93,728
927,73
497,46
673,526
445,808
557,652
401,805
818,806
412,114
1073,280
323,793
1293,647
487,1
843,145
112,94
365,765
355,487
1026,369
1193,782
694,95
463,183
820,707
57,725
1123,575
306,798
1203,288
7,868
15,465
793,480
925,277
811,196
646,546
641,326
88,42
349,294
994,268
841,705
596,252
638,644
214,742
435,526
1238,707
561,166
577,93
517,190
639,317
92,221
226,506
541,488
517,414
1019,715
909,243
37,410
601,211
232,588
617,186
37,484
1248,511
139,165
736,747
216,203
417,628
961,712
659,812
743,477
339,784
316,626
800,7
172,322
893,182
636,281
164,585
547,674
542,876
1197,70
525,267
15,36
1240,177
1005,425
1006,21
1245,121
933,600
1054,893
600,100
949,86
373,403
1057,56
1054,1
694,799
550,82
1057,243
89,824
435,501
1021,577
1185,107
483,332
955,683
1091,837
1042,364
1071,642
1273,260
167,140
619,536
113,728
857,877
437,235
129,137
1087,96
952,253
659,109
910,595
176,693
952,499
721,502
164,354
529,339
417,182
781,787
170,826
857,241
775,372
453,843
962,404
316,268
744,404
582,35
1160,84
765,498
589,196
299,519
72,259
164,866
761,127
125,765
1134,693
795,593
1015,488
216,187
299,855
52,812
1002,431
721,193
914,252
304,273
910,707
585,728
510,711
917,466
438,68
43,484
1041,603
397,614
542,352
400,747
537,11
1261,518
313,624
495,371
1116,247
21,369
803,159
566,852
303,383
748,781
656,37
254,299
176,497
1303,691
0,485
1241,504
1163,735
1064,147
182,439
490,707
214,94
1129,42
293,715
107,9
542,542
284,369
1235,39
991,469
1200,467
632,397
1014,701
1130,306
1015,406
75,197
927,427
1096,800
1241,838
1066,810
765,435
700,686
401,651
1300,647
815,526
838,767
23,189
708,203
1034,632
150,761
460,247
1029,491
1193,800
633,712
1134,201
870,94
467,491
401,54
1056,819
470,798
1134,497
