4,14,13
12,7,15
7,14,15
7,16,12
7,9,18
13,8,15
17,10,6
14,2,11
12,10,2
2,8,6
4,4,6
7,14,4
7,3,10
8,9,16
5,15,7
14,4,7
15,11,6
14,12,5
4,11,15
2,10,6
16,12,9
2,6,10
9,14,5
18,10,8
13,14,13
10,17,12
6,15,7
13,12,15
6,8,17
12,7,16
17,10,10
3,8,5
4,13,6
14,10,3
3,5,10
11,17,13
9,13,14
4,3,12
12,8,2
4,3,13
5,4,9
3,8,12
6,2,12
15,9,3
2,6,7
10,5,4
7,16,7
10,14,2
9,10,15
9,12,17
13,15,6
6,4,9
16,12,13
6,15,10
16,7,14
3,10,7
11,6,3
10,6,15
1,9,12
1,11,9
17,8,5
13,7,3
10,2,11
17,7,11
4,10,16
8,3,14
16,9,6
11,3,11
9,6,17
14,17,7
6,8,3
9,16,6
8,18,9
12,5,17
15,10,12
8,14,3
3,9,15
4,7,15
16,13,8
17,10,12
12,5,16
11,18,11
14,13,16
7,9,16
5,6,16
4,6,4
4,12,6
8,6,2
2,9,8
12,3,6
7,2,7
2,10,14
11,5,17
8,5,16
16,9,7
11,17,7
8,5,2
13,11,4
7,7,3
10,6,4
8,5,3
2,8,8
7,18,8
14,9,3
13,12,17
12,6,3
17,8,8
10,9,2
11,3,6
11,12,17
9,14,16
10,3,8
10,3,6
13,3,13
3,13,6
8,18,10
13,3,9
7,1,10
7,16,5
6,2,9
14,6,15
4,9,13
5,4,11
15,5,5
2,11,8
7,3,8
2,12,7
11,9,17
5,15,9
10,12,1
13,4,5
3,14,11
6,11,16
13,16,14
11,13,16
9,7,4
14,5,4
3,8,13
7,6,17
17,12,10
16,11,10
15,5,13
7,12,4
5,5,15
11,15,4
8,17,8
16,5,7
4,8,13
12,12,16
12,12,2
6,7,2
4,3,9
4,13,13
9,13,2
16,14,10
14,4,11
6,4,12
12,2,11
13,16,9
16,12,14
5,12,3
5,8,3
10,6,2
11,8,1
7,7,2
17,4,9
6,15,6
10,16,13
12,13,4
4,10,3
5,13,16
5,10,15
15,7,4
17,8,10
14,17,12
11,2,9
14,15,12
9,1,9
11,8,17
7,4,4
1,7,8
3,8,8
11,6,17
8,12,17
4,14,14
8,3,5
7,18,9
7,16,13
11,15,14
8,17,5
9,11,2
12,13,15
3,8,6
7,16,14
15,4,8
14,4,14
14,15,6
5,6,13
13,17,12
13,17,8
9,7,3
11,13,17
14,3,6
15,13,15
2,10,13
7,6,3
13,2,9
5,6,5
6,16,8
17,12,8
2,12,8
4,15,7
4,12,12
6,13,5
13,17,10
16,5,9
17,14,9
9,11,16
5,4,15
10,7,2
15,11,5
8,11,0
3,11,12
4,6,7
14,12,2
5,6,17
11,16,15
9,5,2
5,14,9
4,9,12
2,12,5
12,3,13
6,3,9
14,14,6
7,16,6
14,5,15
3,13,7
12,2,10
13,12,2
11,8,18
18,11,9
2,13,5
12,15,6
14,3,11
12,2,7
6,5,6
9,10,2
18,10,10
9,1,10
10,5,14
14,3,9
3,12,5
9,12,3
17,8,9
14,16,11
15,9,4
3,6,6
11,9,2
9,17,11
14,7,15
9,10,1
15,11,3
8,3,8
12,7,3
15,13,12
3,6,8
5,14,14
3,14,12
3,7,7
10,4,5
14,17,9
16,12,7
6,7,17
16,4,6
4,14,7
13,13,15
10,17,6
1,10,9
13,16,15
8,13,4
7,5,4
15,5,6
14,7,4
8,15,15
3,16,9
11,18,9
9,17,9
6,14,3
10,10,1
15,15,9
4,3,10
8,4,13
17,9,9
7,18,10
10,8,18
7,7,17
2,11,9
5,17,8
4,13,14
14,16,7
11,14,2
3,10,14
13,13,3
13,16,6
4,12,13
16,7,10
3,11,13
11,7,17
5,16,7
10,2,9
2,11,12
13,5,4
14,12,11
3,6,13
3,9,13
6,13,3
16,16,13
17,9,13
13,6,4
12,15,8
6,11,17
14,7,7
7,17,10
9,9,2
4,15,9
4,6,5
11,3,8
14,2,10
15,11,4
7,5,15
7,2,11
4,9,16
13,3,11
15,4,10
4,5,5
11,16,7
16,9,15
13,9,2
14,14,15
10,9,16
2,6,9
7,13,16
16,6,11
10,6,1
10,12,17
14,9,17
15,6,4
4,13,10
16,10,14
6,12,16
13,6,15
12,16,6
12,15,13
15,10,15
12,3,11
9,6,4
12,9,17
17,6,7
11,17,12
5,4,4
12,7,17
14,10,17
3,10,5
15,15,10
6,16,10
3,9,11
12,3,14
10,13,16
13,4,14
17,11,10
7,14,6
12,7,2
13,17,7
4,5,6
9,9,18
8,4,8
12,16,9
2,6,13
2,9,10
7,3,9
12,1,9
14,8,3
4,6,10
